isbn,titulo,autor,peso,valor,stock
978-101,La Sombra del Viento,Carlos Ruiz Zafón,0.7,52000,4
978-102,El Nombre del Viento,Patrick Rothfuss,1.1,85000,2
978-103,Breves Respuestas a las Grandes Preguntas,Stephen Hawking,0.5,65000,0
978-104,Cracking the Coding Interview,Gayle Laakmann McDowell,1.3,190000,3
978-105,El Alquimista,Paulo Coelho,0.3,40000,6
978-106,Dune,Frank Herbert,1.8,110000,1
978-107,Sapiens: De Animales a Dioses,Yuval Noah Harari,1.0,98000,0
978-108,El Hombre en Busca de Sentido,Viktor Frankl,0.4,45000,5
978-109,Pro Git,Scott Chacon,0.9,75000,2
978-110,Deep Learning,Ian Goodfellow,2.7,350000,1
